Time per request:       114.976 [ms] (mean, across all concurrent requests)
Time per request:       114.823 [ms] (mean, across all concurrent requests)
Time per request:       114.691 [ms] (mean, across all concurrent requests)
Time per request:       114.432 [ms] (mean, across all concurrent requests)
Time per request:       114.570 [ms] (mean, across all concurrent requests)
Time per request:       114.629 [ms] (mean, across all concurrent requests)
Time per request:       114.843 [ms] (mean, across all concurrent requests)
Time per request:       114.777 [ms] (mean, across all concurrent requests)
Time per request:       114.660 [ms] (mean, across all concurrent requests)
Time per request:       114.779 [ms] (mean, across all concurrent requests)
Time per request:       115.001 [ms] (mean, across all concurrent requests)
Time per request:       114.920 [ms] (mean, across all concurrent requests)
Time per request:       114.417 [ms] (mean, across all concurrent requests)
Time per request:       114.841 [ms] (mean, across all concurrent requests)
Time per request:       114.955 [ms] (mean, across all concurrent requests)
Time per request:       115.628 [ms] (mean, across all concurrent requests)
Time per request:       115.793 [ms] (mean, across all concurrent requests)
Time per request:       115.004 [ms] (mean, across all concurrent requests)
Time per request:       114.608 [ms] (mean, across all concurrent requests)
Time per request:       114.953 [ms] (mean, across all concurrent requests)
Time per request:       115.326 [ms] (mean, across all concurrent requests)
Time per request:       115.303 [ms] (mean, across all concurrent requests)
Time per request:       114.686 [ms] (mean, across all concurrent requests)
Time per request:       115.005 [ms] (mean, across all concurrent requests)
Time per request:       114.851 [ms] (mean, across all concurrent requests)
Time per request:       114.886 [ms] (mean, across all concurrent requests)
Time per request:       114.700 [ms] (mean, across all concurrent requests)
Time per request:       115.482 [ms] (mean, across all concurrent requests)
Time per request:       114.480 [ms] (mean, across all concurrent requests)
Time per request:       114.585 [ms] (mean, across all concurrent requests)
Time per request:       108.808 [ms] (mean, across all concurrent requests)
Time per request:       108.629 [ms] (mean, across all concurrent requests)
Time per request:       108.491 [ms] (mean, across all concurrent requests)
Time per request:       108.536 [ms] (mean, across all concurrent requests)
Time per request:       108.500 [ms] (mean, across all concurrent requests)
Time per request:       108.751 [ms] (mean, across all concurrent requests)
Time per request:       108.409 [ms] (mean, across all concurrent requests)
Time per request:       108.481 [ms] (mean, across all concurrent requests)
Time per request:       108.542 [ms] (mean, across all concurrent requests)
Time per request:       108.511 [ms] (mean, across all concurrent requests)
Time per request:       108.483 [ms] (mean, across all concurrent requests)
Time per request:       108.633 [ms] (mean, across all concurrent requests)
Time per request:       108.828 [ms] (mean, across all concurrent requests)
Time per request:       108.692 [ms] (mean, across all concurrent requests)
Time per request:       108.605 [ms] (mean, across all concurrent requests)
Time per request:       108.615 [ms] (mean, across all concurrent requests)
Time per request:       108.443 [ms] (mean, across all concurrent requests)
Time per request:       108.843 [ms] (mean, across all concurrent requests)
Time per request:       108.726 [ms] (mean, across all concurrent requests)
Time per request:       108.447 [ms] (mean, across all concurrent requests)
Time per request:       108.665 [ms] (mean, across all concurrent requests)
Time per request:       108.704 [ms] (mean, across all concurrent requests)
Time per request:       108.619 [ms] (mean, across all concurrent requests)
Time per request:       108.497 [ms] (mean, across all concurrent requests)
Time per request:       108.757 [ms] (mean, across all concurrent requests)
Time per request:       108.541 [ms] (mean, across all concurrent requests)
Time per request:       108.604 [ms] (mean, across all concurrent requests)
Time per request:       108.865 [ms] (mean, across all concurrent requests)
Time per request:       108.933 [ms] (mean, across all concurrent requests)
Time per request:       108.721 [ms] (mean, across all concurrent requests)
Time per request:       106.512 [ms] (mean, across all concurrent requests)
Time per request:       106.590 [ms] (mean, across all concurrent requests)
Time per request:       106.688 [ms] (mean, across all concurrent requests)
Time per request:       106.594 [ms] (mean, across all concurrent requests)
Time per request:       106.555 [ms] (mean, across all concurrent requests)
Time per request:       106.927 [ms] (mean, across all concurrent requests)
Time per request:       107.231 [ms] (mean, across all concurrent requests)
Time per request:       106.593 [ms] (mean, across all concurrent requests)
Time per request:       106.507 [ms] (mean, across all concurrent requests)
Time per request:       106.578 [ms] (mean, across all concurrent requests)
Time per request:       106.596 [ms] (mean, across all concurrent requests)
Time per request:       106.602 [ms] (mean, across all concurrent requests)
Time per request:       106.766 [ms] (mean, across all concurrent requests)
Time per request:       106.697 [ms] (mean, across all concurrent requests)
Time per request:       106.617 [ms] (mean, across all concurrent requests)
Time per request:       106.647 [ms] (mean, across all concurrent requests)
Time per request:       106.627 [ms] (mean, across all concurrent requests)
Time per request:       106.685 [ms] (mean, across all concurrent requests)
Time per request:       106.490 [ms] (mean, across all concurrent requests)
Time per request:       106.545 [ms] (mean, across all concurrent requests)
Time per request:       106.425 [ms] (mean, across all concurrent requests)
