Time per request:       114.936 [ms] (mean, across all concurrent requests)
Time per request:       114.540 [ms] (mean, across all concurrent requests)
Time per request:       115.173 [ms] (mean, across all concurrent requests)
Time per request:       114.858 [ms] (mean, across all concurrent requests)
Time per request:       114.536 [ms] (mean, across all concurrent requests)
Time per request:       114.521 [ms] (mean, across all concurrent requests)
Time per request:       115.214 [ms] (mean, across all concurrent requests)
Time per request:       114.843 [ms] (mean, across all concurrent requests)
Time per request:       114.386 [ms] (mean, across all concurrent requests)
Time per request:       114.832 [ms] (mean, across all concurrent requests)
Time per request:       114.565 [ms] (mean, across all concurrent requests)
Time per request:       114.826 [ms] (mean, across all concurrent requests)
Time per request:       114.606 [ms] (mean, across all concurrent requests)
Time per request:       114.520 [ms] (mean, across all concurrent requests)
Time per request:       114.611 [ms] (mean, across all concurrent requests)
Time per request:       114.486 [ms] (mean, across all concurrent requests)
Time per request:       114.951 [ms] (mean, across all concurrent requests)
Time per request:       114.537 [ms] (mean, across all concurrent requests)
Time per request:       113.260 [ms] (mean, across all concurrent requests)
Time per request:       114.955 [ms] (mean, across all concurrent requests)
Time per request:       114.890 [ms] (mean, across all concurrent requests)
Time per request:       114.557 [ms] (mean, across all concurrent requests)
Time per request:       114.496 [ms] (mean, across all concurrent requests)
Time per request:       114.527 [ms] (mean, across all concurrent requests)
Time per request:       114.874 [ms] (mean, across all concurrent requests)
Time per request:       114.547 [ms] (mean, across all concurrent requests)
Time per request:       114.522 [ms] (mean, across all concurrent requests)
Time per request:       114.536 [ms] (mean, across all concurrent requests)
Time per request:       114.848 [ms] (mean, across all concurrent requests)
Time per request:       114.551 [ms] (mean, across all concurrent requests)
Time per request:       108.415 [ms] (mean, across all concurrent requests)
Time per request:       108.468 [ms] (mean, across all concurrent requests)
Time per request:       108.474 [ms] (mean, across all concurrent requests)
Time per request:       108.520 [ms] (mean, across all concurrent requests)
Time per request:       108.462 [ms] (mean, across all concurrent requests)
Time per request:       108.626 [ms] (mean, across all concurrent requests)
Time per request:       108.474 [ms] (mean, across all concurrent requests)
Time per request:       108.460 [ms] (mean, across all concurrent requests)
Time per request:       108.479 [ms] (mean, across all concurrent requests)
Time per request:       108.783 [ms] (mean, across all concurrent requests)
Time per request:       108.489 [ms] (mean, across all concurrent requests)
Time per request:       108.467 [ms] (mean, across all concurrent requests)
Time per request:       108.468 [ms] (mean, across all concurrent requests)
Time per request:       108.626 [ms] (mean, across all concurrent requests)
Time per request:       108.470 [ms] (mean, across all concurrent requests)
Time per request:       108.622 [ms] (mean, across all concurrent requests)
Time per request:       108.467 [ms] (mean, across all concurrent requests)
Time per request:       108.636 [ms] (mean, across all concurrent requests)
Time per request:       108.475 [ms] (mean, across all concurrent requests)
Time per request:       108.622 [ms] (mean, across all concurrent requests)
Time per request:       108.467 [ms] (mean, across all concurrent requests)
Time per request:       108.439 [ms] (mean, across all concurrent requests)
Time per request:       108.465 [ms] (mean, across all concurrent requests)
Time per request:       108.484 [ms] (mean, across all concurrent requests)
Time per request:       108.618 [ms] (mean, across all concurrent requests)
Time per request:       108.453 [ms] (mean, across all concurrent requests)
Time per request:       108.466 [ms] (mean, across all concurrent requests)
Time per request:       108.607 [ms] (mean, across all concurrent requests)
Time per request:       108.621 [ms] (mean, across all concurrent requests)
Time per request:       108.478 [ms] (mean, across all concurrent requests)
Time per request:       106.440 [ms] (mean, across all concurrent requests)
Time per request:       106.458 [ms] (mean, across all concurrent requests)
Time per request:       106.665 [ms] (mean, across all concurrent requests)
Time per request:       106.545 [ms] (mean, across all concurrent requests)
Time per request:       106.441 [ms] (mean, across all concurrent requests)
Time per request:       106.440 [ms] (mean, across all concurrent requests)
Time per request:       106.550 [ms] (mean, across all concurrent requests)
Time per request:       106.440 [ms] (mean, across all concurrent requests)
Time per request:       106.560 [ms] (mean, across all concurrent requests)
Time per request:       106.438 [ms] (mean, across all concurrent requests)
Time per request:       106.488 [ms] (mean, across all concurrent requests)
Time per request:       106.423 [ms] (mean, across all concurrent requests)
Time per request:       106.445 [ms] (mean, across all concurrent requests)
Time per request:       106.449 [ms] (mean, across all concurrent requests)
Time per request:       106.460 [ms] (mean, across all concurrent requests)
Time per request:       106.436 [ms] (mean, across all concurrent requests)
Time per request:       106.439 [ms] (mean, across all concurrent requests)
Time per request:       106.572 [ms] (mean, across all concurrent requests)
Time per request:       106.468 [ms] (mean, across all concurrent requests)
Time per request:       106.545 [ms] (mean, across all concurrent requests)
Time per request:       106.539 [ms] (mean, across all concurrent requests)
Time per request:       106.648 [ms] (mean, across all concurrent requests)
Time per request:       106.435 [ms] (mean, across all concurrent requests)
Time per request:       106.444 [ms] (mean, across all concurrent requests)
Time per request:       106.546 [ms] (mean, across all concurrent requests)
Time per request:       106.533 [ms] (mean, across all concurrent requests)
Time per request:       106.463 [ms] (mean, across all concurrent requests)
Time per request:       106.556 [ms] (mean, across all concurrent requests)
Time per request:       106.552 [ms] (mean, across all concurrent requests)
Time per request:       106.455 [ms] (mean, across all concurrent requests)
Time per request:       105.434 [ms] (mean, across all concurrent requests)
Time per request:       105.490 [ms] (mean, across all concurrent requests)
Time per request:       105.465 [ms] (mean, across all concurrent requests)
Time per request:       105.470 [ms] (mean, across all concurrent requests)
Time per request:       105.431 [ms] (mean, across all concurrent requests)
Time per request:       105.429 [ms] (mean, across all concurrent requests)
Time per request:       105.416 [ms] (mean, across all concurrent requests)
Time per request:       105.590 [ms] (mean, across all concurrent requests)
Time per request:       105.512 [ms] (mean, across all concurrent requests)
Time per request:       105.433 [ms] (mean, across all concurrent requests)
Time per request:       105.501 [ms] (mean, across all concurrent requests)
Time per request:       105.435 [ms] (mean, across all concurrent requests)
Time per request:       105.505 [ms] (mean, across all concurrent requests)
Time per request:       105.519 [ms] (mean, across all concurrent requests)
Time per request:       105.434 [ms] (mean, across all concurrent requests)
Time per request:       105.420 [ms] (mean, across all concurrent requests)
Time per request:       105.442 [ms] (mean, across all concurrent requests)
