Time per request:       114.542 [ms] (mean, across all concurrent requests)
Time per request:       114.522 [ms] (mean, across all concurrent requests)
Time per request:       114.630 [ms] (mean, across all concurrent requests)
Time per request:       114.942 [ms] (mean, across all concurrent requests)
Time per request:       114.507 [ms] (mean, across all concurrent requests)
Time per request:       114.813 [ms] (mean, across all concurrent requests)
Time per request:       114.548 [ms] (mean, across all concurrent requests)
Time per request:       114.572 [ms] (mean, across all concurrent requests)
Time per request:       114.442 [ms] (mean, across all concurrent requests)
Time per request:       114.543 [ms] (mean, across all concurrent requests)
Time per request:       114.532 [ms] (mean, across all concurrent requests)
Time per request:       114.819 [ms] (mean, across all concurrent requests)
Time per request:       114.559 [ms] (mean, across all concurrent requests)
Time per request:       114.862 [ms] (mean, across all concurrent requests)
Time per request:       114.482 [ms] (mean, across all concurrent requests)
Time per request:       114.769 [ms] (mean, across all concurrent requests)
Time per request:       114.550 [ms] (mean, across all concurrent requests)
Time per request:       114.815 [ms] (mean, across all concurrent requests)
Time per request:       114.928 [ms] (mean, across all concurrent requests)
Time per request:       114.882 [ms] (mean, across all concurrent requests)
Time per request:       114.724 [ms] (mean, across all concurrent requests)
Time per request:       114.519 [ms] (mean, across all concurrent requests)
Time per request:       114.550 [ms] (mean, across all concurrent requests)
Time per request:       114.544 [ms] (mean, across all concurrent requests)
Time per request:       114.545 [ms] (mean, across all concurrent requests)
Time per request:       114.633 [ms] (mean, across all concurrent requests)
Time per request:       114.548 [ms] (mean, across all concurrent requests)
Time per request:       114.497 [ms] (mean, across all concurrent requests)
Time per request:       114.448 [ms] (mean, across all concurrent requests)
Time per request:       114.535 [ms] (mean, across all concurrent requests)
Time per request:       108.476 [ms] (mean, across all concurrent requests)
Time per request:       108.519 [ms] (mean, across all concurrent requests)
Time per request:       108.441 [ms] (mean, across all concurrent requests)
Time per request:       108.604 [ms] (mean, across all concurrent requests)
Time per request:       108.653 [ms] (mean, across all concurrent requests)
Time per request:       108.615 [ms] (mean, across all concurrent requests)
Time per request:       108.624 [ms] (mean, across all concurrent requests)
Time per request:       108.494 [ms] (mean, across all concurrent requests)
Time per request:       108.636 [ms] (mean, across all concurrent requests)
Time per request:       108.466 [ms] (mean, across all concurrent requests)
Time per request:       108.478 [ms] (mean, across all concurrent requests)
Time per request:       108.444 [ms] (mean, across all concurrent requests)
Time per request:       108.476 [ms] (mean, across all concurrent requests)
Time per request:       108.462 [ms] (mean, across all concurrent requests)
Time per request:       108.624 [ms] (mean, across all concurrent requests)
Time per request:       108.583 [ms] (mean, across all concurrent requests)
Time per request:       108.781 [ms] (mean, across all concurrent requests)
Time per request:       108.609 [ms] (mean, across all concurrent requests)
Time per request:       108.455 [ms] (mean, across all concurrent requests)
Time per request:       108.461 [ms] (mean, across all concurrent requests)
Time per request:       108.466 [ms] (mean, across all concurrent requests)
Time per request:       108.663 [ms] (mean, across all concurrent requests)
Time per request:       108.622 [ms] (mean, across all concurrent requests)
Time per request:       108.602 [ms] (mean, across all concurrent requests)
Time per request:       108.617 [ms] (mean, across all concurrent requests)
Time per request:       108.455 [ms] (mean, across all concurrent requests)
Time per request:       108.513 [ms] (mean, across all concurrent requests)
Time per request:       108.516 [ms] (mean, across all concurrent requests)
Time per request:       108.482 [ms] (mean, across all concurrent requests)
Time per request:       108.620 [ms] (mean, across all concurrent requests)
