Time per request:       114.510 [ms] (mean, across all concurrent requests)
Time per request:       114.542 [ms] (mean, across all concurrent requests)
Time per request:       115.128 [ms] (mean, across all concurrent requests)
Time per request:       114.518 [ms] (mean, across all concurrent requests)
Time per request:       114.553 [ms] (mean, across all concurrent requests)
Time per request:       114.843 [ms] (mean, across all concurrent requests)
Time per request:       114.622 [ms] (mean, across all concurrent requests)
Time per request:       114.902 [ms] (mean, across all concurrent requests)
Time per request:       114.817 [ms] (mean, across all concurrent requests)
Time per request:       114.904 [ms] (mean, across all concurrent requests)
Time per request:       114.988 [ms] (mean, across all concurrent requests)
Time per request:       114.509 [ms] (mean, across all concurrent requests)
Time per request:       114.481 [ms] (mean, across all concurrent requests)
Time per request:       114.900 [ms] (mean, across all concurrent requests)
Time per request:       114.784 [ms] (mean, across all concurrent requests)
Time per request:       114.563 [ms] (mean, across all concurrent requests)
Time per request:       114.854 [ms] (mean, across all concurrent requests)
Time per request:       115.141 [ms] (mean, across all concurrent requests)
Time per request:       115.596 [ms] (mean, across all concurrent requests)
Time per request:       114.477 [ms] (mean, across all concurrent requests)
Time per request:       114.846 [ms] (mean, across all concurrent requests)
Time per request:       114.832 [ms] (mean, across all concurrent requests)
Time per request:       114.768 [ms] (mean, across all concurrent requests)
Time per request:       114.495 [ms] (mean, across all concurrent requests)
Time per request:       115.499 [ms] (mean, across all concurrent requests)
Time per request:       114.475 [ms] (mean, across all concurrent requests)
Time per request:       114.502 [ms] (mean, across all concurrent requests)
Time per request:       114.923 [ms] (mean, across all concurrent requests)
Time per request:       115.119 [ms] (mean, across all concurrent requests)
Time per request:       114.478 [ms] (mean, across all concurrent requests)
Time per request:       112.493 [ms] (mean, across all concurrent requests)
Time per request:       108.572 [ms] (mean, across all concurrent requests)
Time per request:       108.633 [ms] (mean, across all concurrent requests)
Time per request:       108.615 [ms] (mean, across all concurrent requests)
Time per request:       108.927 [ms] (mean, across all concurrent requests)
Time per request:       108.504 [ms] (mean, across all concurrent requests)
Time per request:       108.655 [ms] (mean, across all concurrent requests)
Time per request:       108.638 [ms] (mean, across all concurrent requests)
Time per request:       108.425 [ms] (mean, across all concurrent requests)
Time per request:       108.624 [ms] (mean, across all concurrent requests)
Time per request:       108.659 [ms] (mean, across all concurrent requests)
Time per request:       108.638 [ms] (mean, across all concurrent requests)
Time per request:       108.503 [ms] (mean, across all concurrent requests)
Time per request:       108.608 [ms] (mean, across all concurrent requests)
Time per request:       108.637 [ms] (mean, across all concurrent requests)
Time per request:       108.450 [ms] (mean, across all concurrent requests)
Time per request:       108.529 [ms] (mean, across all concurrent requests)
Time per request:       108.625 [ms] (mean, across all concurrent requests)
Time per request:       108.433 [ms] (mean, across all concurrent requests)
Time per request:       108.634 [ms] (mean, across all concurrent requests)
Time per request:       108.623 [ms] (mean, across all concurrent requests)
Time per request:       108.661 [ms] (mean, across all concurrent requests)
Time per request:       108.627 [ms] (mean, across all concurrent requests)
Time per request:       108.477 [ms] (mean, across all concurrent requests)
Time per request:       108.597 [ms] (mean, across all concurrent requests)
Time per request:       108.460 [ms] (mean, across all concurrent requests)
Time per request:       108.541 [ms] (mean, across all concurrent requests)
Time per request:       108.631 [ms] (mean, across all concurrent requests)
Time per request:       108.588 [ms] (mean, across all concurrent requests)
Time per request:       108.475 [ms] (mean, across all concurrent requests)
Time per request:       106.429 [ms] (mean, across all concurrent requests)
Time per request:       106.429 [ms] (mean, across all concurrent requests)
Time per request:       106.536 [ms] (mean, across all concurrent requests)
Time per request:       106.642 [ms] (mean, across all concurrent requests)
Time per request:       106.532 [ms] (mean, across all concurrent requests)
Time per request:       106.431 [ms] (mean, across all concurrent requests)
Time per request:       106.751 [ms] (mean, across all concurrent requests)
Time per request:       106.566 [ms] (mean, across all concurrent requests)
Time per request:       106.653 [ms] (mean, across all concurrent requests)
Time per request:       106.457 [ms] (mean, across all concurrent requests)
Time per request:       106.550 [ms] (mean, across all concurrent requests)
Time per request:       106.534 [ms] (mean, across all concurrent requests)
Time per request:       106.536 [ms] (mean, across all concurrent requests)
Time per request:       106.833 [ms] (mean, across all concurrent requests)
Time per request:       106.794 [ms] (mean, across all concurrent requests)
Time per request:       106.456 [ms] (mean, across all concurrent requests)
Time per request:       106.763 [ms] (mean, across all concurrent requests)
Time per request:       106.661 [ms] (mean, across all concurrent requests)
Time per request:       106.663 [ms] (mean, across all concurrent requests)
Time per request:       106.558 [ms] (mean, across all concurrent requests)
Time per request:       107.206 [ms] (mean, across all concurrent requests)
Time per request:       106.440 [ms] (mean, across all concurrent requests)
Time per request:       106.431 [ms] (mean, across all concurrent requests)
Time per request:       106.651 [ms] (mean, across all concurrent requests)
Time per request:       106.653 [ms] (mean, across all concurrent requests)
Time per request:       106.568 [ms] (mean, across all concurrent requests)
Time per request:       106.564 [ms] (mean, across all concurrent requests)
Time per request:       106.557 [ms] (mean, across all concurrent requests)
Time per request:       106.510 [ms] (mean, across all concurrent requests)
Time per request:       106.553 [ms] (mean, across all concurrent requests)
Time per request:       105.434 [ms] (mean, across all concurrent requests)
Time per request:       105.615 [ms] (mean, across all concurrent requests)
Time per request:       105.508 [ms] (mean, across all concurrent requests)
Time per request:       105.834 [ms] (mean, across all concurrent requests)
Time per request:       105.623 [ms] (mean, across all concurrent requests)
Time per request:       105.593 [ms] (mean, across all concurrent requests)
Time per request:       105.425 [ms] (mean, across all concurrent requests)
Time per request:       105.601 [ms] (mean, across all concurrent requests)
Time per request:       105.838 [ms] (mean, across all concurrent requests)
Time per request:       105.516 [ms] (mean, across all concurrent requests)
Time per request:       105.521 [ms] (mean, across all concurrent requests)
Time per request:       105.499 [ms] (mean, across all concurrent requests)
Time per request:       105.505 [ms] (mean, across all concurrent requests)
Time per request:       105.499 [ms] (mean, across all concurrent requests)
Time per request:       105.510 [ms] (mean, across all concurrent requests)
Time per request:       105.511 [ms] (mean, across all concurrent requests)
Time per request:       105.659 [ms] (mean, across all concurrent requests)
Time per request:       105.504 [ms] (mean, across all concurrent requests)
Time per request:       105.451 [ms] (mean, across all concurrent requests)
Time per request:       105.510 [ms] (mean, across all concurrent requests)
Time per request:       105.515 [ms] (mean, across all concurrent requests)
Time per request:       105.576 [ms] (mean, across all concurrent requests)
Time per request:       105.591 [ms] (mean, across all concurrent requests)
Time per request:       105.438 [ms] (mean, across all concurrent requests)
Time per request:       105.514 [ms] (mean, across all concurrent requests)
Time per request:       105.589 [ms] (mean, across all concurrent requests)
Time per request:       105.578 [ms] (mean, across all concurrent requests)
Time per request:       105.600 [ms] (mean, across all concurrent requests)
Time per request:       105.505 [ms] (mean, across all concurrent requests)
Time per request:       105.604 [ms] (mean, across all concurrent requests)
Time per request:       105.026 [ms] (mean, across all concurrent requests)
Time per request:       104.963 [ms] (mean, across all concurrent requests)
Time per request:       105.085 [ms] (mean, across all concurrent requests)
Time per request:       104.967 [ms] (mean, across all concurrent requests)
Time per request:       104.961 [ms] (mean, across all concurrent requests)
Time per request:       104.888 [ms] (mean, across all concurrent requests)
Time per request:       104.896 [ms] (mean, across all concurrent requests)
Time per request:       104.818 [ms] (mean, across all concurrent requests)
Time per request:       105.087 [ms] (mean, across all concurrent requests)
Time per request:       105.016 [ms] (mean, across all concurrent requests)
Time per request:       105.137 [ms] (mean, across all concurrent requests)
Time per request:       104.868 [ms] (mean, across all concurrent requests)
Time per request:       105.090 [ms] (mean, across all concurrent requests)
Time per request:       104.847 [ms] (mean, across all concurrent requests)
Time per request:       104.890 [ms] (mean, across all concurrent requests)
Time per request:       105.020 [ms] (mean, across all concurrent requests)
Time per request:       105.150 [ms] (mean, across all concurrent requests)
Time per request:       104.937 [ms] (mean, across all concurrent requests)
Time per request:       104.823 [ms] (mean, across all concurrent requests)
Time per request:       104.950 [ms] (mean, across all concurrent requests)
Time per request:       105.079 [ms] (mean, across all concurrent requests)
Time per request:       104.946 [ms] (mean, across all concurrent requests)
Time per request:       104.823 [ms] (mean, across all concurrent requests)
Time per request:       104.922 [ms] (mean, across all concurrent requests)
Time per request:       105.047 [ms] (mean, across all concurrent requests)
Time per request:       104.947 [ms] (mean, across all concurrent requests)
Time per request:       105.195 [ms] (mean, across all concurrent requests)
Time per request:       104.868 [ms] (mean, across all concurrent requests)
Time per request:       105.531 [ms] (mean, across all concurrent requests)
Time per request:       104.958 [ms] (mean, across all concurrent requests)
