Time per request:       112.993 [ms] (mean, across all concurrent requests)
Time per request:       112.691 [ms] (mean, across all concurrent requests)
Time per request:       112.614 [ms] (mean, across all concurrent requests)
Time per request:       112.650 [ms] (mean, across all concurrent requests)
Time per request:       112.606 [ms] (mean, across all concurrent requests)
Time per request:       112.926 [ms] (mean, across all concurrent requests)
Time per request:       112.959 [ms] (mean, across all concurrent requests)
Time per request:       113.036 [ms] (mean, across all concurrent requests)
Time per request:       112.660 [ms] (mean, across all concurrent requests)
Time per request:       112.958 [ms] (mean, across all concurrent requests)
Time per request:       112.578 [ms] (mean, across all concurrent requests)
Time per request:       112.590 [ms] (mean, across all concurrent requests)
Time per request:       113.314 [ms] (mean, across all concurrent requests)
Time per request:       113.003 [ms] (mean, across all concurrent requests)
Time per request:       112.649 [ms] (mean, across all concurrent requests)
Time per request:       112.732 [ms] (mean, across all concurrent requests)
Time per request:       112.503 [ms] (mean, across all concurrent requests)
Time per request:       113.381 [ms] (mean, across all concurrent requests)
Time per request:       112.594 [ms] (mean, across all concurrent requests)
Time per request:       113.270 [ms] (mean, across all concurrent requests)
Time per request:       112.658 [ms] (mean, across all concurrent requests)
Time per request:       112.660 [ms] (mean, across all concurrent requests)
Time per request:       112.941 [ms] (mean, across all concurrent requests)
Time per request:       112.566 [ms] (mean, across all concurrent requests)
Time per request:       112.582 [ms] (mean, across all concurrent requests)
Time per request:       112.647 [ms] (mean, across all concurrent requests)
Time per request:       112.891 [ms] (mean, across all concurrent requests)
Time per request:       112.752 [ms] (mean, across all concurrent requests)
Time per request:       112.929 [ms] (mean, across all concurrent requests)
Time per request:       112.545 [ms] (mean, across all concurrent requests)
Time per request:       107.735 [ms] (mean, across all concurrent requests)
Time per request:       107.851 [ms] (mean, across all concurrent requests)
Time per request:       107.601 [ms] (mean, across all concurrent requests)
Time per request:       107.487 [ms] (mean, across all concurrent requests)
Time per request:       107.673 [ms] (mean, across all concurrent requests)
Time per request:       107.472 [ms] (mean, across all concurrent requests)
Time per request:       107.708 [ms] (mean, across all concurrent requests)
Time per request:       107.488 [ms] (mean, across all concurrent requests)
Time per request:       107.549 [ms] (mean, across all concurrent requests)
Time per request:       107.682 [ms] (mean, across all concurrent requests)
Time per request:       107.496 [ms] (mean, across all concurrent requests)
Time per request:       107.779 [ms] (mean, across all concurrent requests)
Time per request:       107.671 [ms] (mean, across all concurrent requests)
Time per request:       107.688 [ms] (mean, across all concurrent requests)
Time per request:       107.827 [ms] (mean, across all concurrent requests)
Time per request:       107.513 [ms] (mean, across all concurrent requests)
Time per request:       107.550 [ms] (mean, across all concurrent requests)
Time per request:       107.460 [ms] (mean, across all concurrent requests)
Time per request:       107.694 [ms] (mean, across all concurrent requests)
Time per request:       107.514 [ms] (mean, across all concurrent requests)
Time per request:       108.339 [ms] (mean, across all concurrent requests)
Time per request:       107.496 [ms] (mean, across all concurrent requests)
Time per request:       107.771 [ms] (mean, across all concurrent requests)
Time per request:       108.160 [ms] (mean, across all concurrent requests)
Time per request:       107.661 [ms] (mean, across all concurrent requests)
Time per request:       108.029 [ms] (mean, across all concurrent requests)
Time per request:       107.525 [ms] (mean, across all concurrent requests)
Time per request:       107.608 [ms] (mean, across all concurrent requests)
Time per request:       107.794 [ms] (mean, across all concurrent requests)
Time per request:       107.522 [ms] (mean, across all concurrent requests)
Time per request:       106.107 [ms] (mean, across all concurrent requests)
Time per request:       105.827 [ms] (mean, across all concurrent requests)
Time per request:       105.802 [ms] (mean, across all concurrent requests)
Time per request:       106.115 [ms] (mean, across all concurrent requests)
Time per request:       106.003 [ms] (mean, across all concurrent requests)
Time per request:       105.907 [ms] (mean, across all concurrent requests)
Time per request:       105.783 [ms] (mean, across all concurrent requests)
Time per request:       106.040 [ms] (mean, across all concurrent requests)
Time per request:       105.920 [ms] (mean, across all concurrent requests)
Time per request:       106.020 [ms] (mean, across all concurrent requests)
Time per request:       106.127 [ms] (mean, across all concurrent requests)
Time per request:       105.933 [ms] (mean, across all concurrent requests)
Time per request:       106.013 [ms] (mean, across all concurrent requests)
Time per request:       105.913 [ms] (mean, across all concurrent requests)
Time per request:       105.899 [ms] (mean, across all concurrent requests)
Time per request:       105.911 [ms] (mean, across all concurrent requests)
Time per request:       105.965 [ms] (mean, across all concurrent requests)
Time per request:       105.884 [ms] (mean, across all concurrent requests)
Time per request:       106.007 [ms] (mean, across all concurrent requests)
Time per request:       105.910 [ms] (mean, across all concurrent requests)
Time per request:       105.907 [ms] (mean, across all concurrent requests)
Time per request:       105.922 [ms] (mean, across all concurrent requests)
Time per request:       106.122 [ms] (mean, across all concurrent requests)
Time per request:       106.003 [ms] (mean, across all concurrent requests)
Time per request:       105.899 [ms] (mean, across all concurrent requests)
Time per request:       106.213 [ms] (mean, across all concurrent requests)
