Time per request:       215.391 [ms] (mean, across all concurrent requests)
Time per request:       214.934 [ms] (mean, across all concurrent requests)
Time per request:       215.569 [ms] (mean, across all concurrent requests)
Time per request:       215.188 [ms] (mean, across all concurrent requests)
Time per request:       215.027 [ms] (mean, across all concurrent requests)
Time per request:       214.887 [ms] (mean, across all concurrent requests)
Time per request:       214.998 [ms] (mean, across all concurrent requests)
Time per request:       215.578 [ms] (mean, across all concurrent requests)
Time per request:       215.097 [ms] (mean, across all concurrent requests)
Time per request:       215.207 [ms] (mean, across all concurrent requests)
Time per request:       215.601 [ms] (mean, across all concurrent requests)
Time per request:       215.061 [ms] (mean, across all concurrent requests)
Time per request:       215.775 [ms] (mean, across all concurrent requests)
Time per request:       214.926 [ms] (mean, across all concurrent requests)
Time per request:       214.862 [ms] (mean, across all concurrent requests)
Time per request:       214.926 [ms] (mean, across all concurrent requests)
Time per request:       216.214 [ms] (mean, across all concurrent requests)
Time per request:       215.024 [ms] (mean, across all concurrent requests)
Time per request:       214.943 [ms] (mean, across all concurrent requests)
Time per request:       215.953 [ms] (mean, across all concurrent requests)
Time per request:       214.899 [ms] (mean, across all concurrent requests)
Time per request:       215.610 [ms] (mean, across all concurrent requests)
Time per request:       215.155 [ms] (mean, across all concurrent requests)
Time per request:       215.395 [ms] (mean, across all concurrent requests)
Time per request:       215.464 [ms] (mean, across all concurrent requests)
Time per request:       215.393 [ms] (mean, across all concurrent requests)
Time per request:       215.119 [ms] (mean, across all concurrent requests)
Time per request:       215.157 [ms] (mean, across all concurrent requests)
Time per request:       216.141 [ms] (mean, across all concurrent requests)
Time per request:       215.443 [ms] (mean, across all concurrent requests)
Time per request:       112.997 [ms] (mean, across all concurrent requests)
Time per request:       113.070 [ms] (mean, across all concurrent requests)
Time per request:       112.768 [ms] (mean, across all concurrent requests)
Time per request:       112.680 [ms] (mean, across all concurrent requests)
Time per request:       112.700 [ms] (mean, across all concurrent requests)
Time per request:       112.642 [ms] (mean, across all concurrent requests)
Time per request:       112.632 [ms] (mean, across all concurrent requests)
Time per request:       113.019 [ms] (mean, across all concurrent requests)
Time per request:       112.727 [ms] (mean, across all concurrent requests)
Time per request:       112.662 [ms] (mean, across all concurrent requests)
Time per request:       113.596 [ms] (mean, across all concurrent requests)
Time per request:       112.760 [ms] (mean, across all concurrent requests)
Time per request:       112.963 [ms] (mean, across all concurrent requests)
Time per request:       112.650 [ms] (mean, across all concurrent requests)
Time per request:       112.843 [ms] (mean, across all concurrent requests)
Time per request:       113.000 [ms] (mean, across all concurrent requests)
Time per request:       112.532 [ms] (mean, across all concurrent requests)
Time per request:       112.674 [ms] (mean, across all concurrent requests)
Time per request:       112.951 [ms] (mean, across all concurrent requests)
Time per request:       112.793 [ms] (mean, across all concurrent requests)
Time per request:       112.791 [ms] (mean, across all concurrent requests)
Time per request:       113.029 [ms] (mean, across all concurrent requests)
Time per request:       112.771 [ms] (mean, across all concurrent requests)
Time per request:       112.850 [ms] (mean, across all concurrent requests)
Time per request:       112.752 [ms] (mean, across all concurrent requests)
Time per request:       112.507 [ms] (mean, across all concurrent requests)
Time per request:       112.517 [ms] (mean, across all concurrent requests)
Time per request:       112.786 [ms] (mean, across all concurrent requests)
Time per request:       113.496 [ms] (mean, across all concurrent requests)
Time per request:       112.682 [ms] (mean, across all concurrent requests)
Time per request:       61.648 [ms] (mean, across all concurrent requests)
Time per request:       61.642 [ms] (mean, across all concurrent requests)
Time per request:       61.581 [ms] (mean, across all concurrent requests)
Time per request:       61.743 [ms] (mean, across all concurrent requests)
Time per request:       61.659 [ms] (mean, across all concurrent requests)
Time per request:       61.565 [ms] (mean, across all concurrent requests)
Time per request:       61.557 [ms] (mean, across all concurrent requests)
Time per request:       62.183 [ms] (mean, across all concurrent requests)
Time per request:       61.662 [ms] (mean, across all concurrent requests)
Time per request:       61.420 [ms] (mean, across all concurrent requests)
Time per request:       61.511 [ms] (mean, across all concurrent requests)
Time per request:       61.570 [ms] (mean, across all concurrent requests)
Time per request:       61.512 [ms] (mean, across all concurrent requests)
Time per request:       62.259 [ms] (mean, across all concurrent requests)
Time per request:       61.556 [ms] (mean, across all concurrent requests)
Time per request:       61.607 [ms] (mean, across all concurrent requests)
Time per request:       61.644 [ms] (mean, across all concurrent requests)
Time per request:       61.609 [ms] (mean, across all concurrent requests)
Time per request:       61.343 [ms] (mean, across all concurrent requests)
Time per request:       61.418 [ms] (mean, across all concurrent requests)
Time per request:       61.433 [ms] (mean, across all concurrent requests)
Time per request:       61.720 [ms] (mean, across all concurrent requests)
Time per request:       61.580 [ms] (mean, across all concurrent requests)
Time per request:       61.438 [ms] (mean, across all concurrent requests)
Time per request:       61.598 [ms] (mean, across all concurrent requests)
Time per request:       61.599 [ms] (mean, across all concurrent requests)
Time per request:       61.567 [ms] (mean, across all concurrent requests)
Time per request:       61.583 [ms] (mean, across all concurrent requests)
Time per request:       61.411 [ms] (mean, across all concurrent requests)
Time per request:       61.534 [ms] (mean, across all concurrent requests)
Time per request:       33.093 [ms] (mean, across all concurrent requests)
Time per request:       34.884 [ms] (mean, across all concurrent requests)
Time per request:       33.050 [ms] (mean, across all concurrent requests)
Time per request:       34.720 [ms] (mean, across all concurrent requests)
Time per request:       33.228 [ms] (mean, across all concurrent requests)
