Time per request:       215.291 [ms] (mean, across all concurrent requests)
Time per request:       215.145 [ms] (mean, across all concurrent requests)
Time per request:       215.092 [ms] (mean, across all concurrent requests)
Time per request:       216.987 [ms] (mean, across all concurrent requests)
Time per request:       214.967 [ms] (mean, across all concurrent requests)
Time per request:       215.396 [ms] (mean, across all concurrent requests)
Time per request:       215.731 [ms] (mean, across all concurrent requests)
Time per request:       215.338 [ms] (mean, across all concurrent requests)
Time per request:       215.165 [ms] (mean, across all concurrent requests)
Time per request:       215.021 [ms] (mean, across all concurrent requests)
Time per request:       215.086 [ms] (mean, across all concurrent requests)
Time per request:       215.315 [ms] (mean, across all concurrent requests)
Time per request:       215.059 [ms] (mean, across all concurrent requests)
Time per request:       214.923 [ms] (mean, across all concurrent requests)
Time per request:       215.055 [ms] (mean, across all concurrent requests)
Time per request:       215.020 [ms] (mean, across all concurrent requests)
Time per request:       215.111 [ms] (mean, across all concurrent requests)
Time per request:       215.066 [ms] (mean, across all concurrent requests)
Time per request:       215.152 [ms] (mean, across all concurrent requests)
Time per request:       215.346 [ms] (mean, across all concurrent requests)
Time per request:       214.869 [ms] (mean, across all concurrent requests)
Time per request:       216.152 [ms] (mean, across all concurrent requests)
Time per request:       215.021 [ms] (mean, across all concurrent requests)
Time per request:       215.089 [ms] (mean, across all concurrent requests)
Time per request:       215.753 [ms] (mean, across all concurrent requests)
Time per request:       215.188 [ms] (mean, across all concurrent requests)
Time per request:       215.090 [ms] (mean, across all concurrent requests)
Time per request:       215.349 [ms] (mean, across all concurrent requests)
Time per request:       216.347 [ms] (mean, across all concurrent requests)
Time per request:       215.777 [ms] (mean, across all concurrent requests)
Time per request:       114.452 [ms] (mean, across all concurrent requests)
Time per request:       114.372 [ms] (mean, across all concurrent requests)
Time per request:       114.929 [ms] (mean, across all concurrent requests)
Time per request:       114.456 [ms] (mean, across all concurrent requests)
Time per request:       114.977 [ms] (mean, across all concurrent requests)
Time per request:       114.930 [ms] (mean, across all concurrent requests)
Time per request:       114.500 [ms] (mean, across all concurrent requests)
Time per request:       114.930 [ms] (mean, across all concurrent requests)
Time per request:       114.758 [ms] (mean, across all concurrent requests)
Time per request:       115.098 [ms] (mean, across all concurrent requests)
Time per request:       114.702 [ms] (mean, across all concurrent requests)
Time per request:       114.738 [ms] (mean, across all concurrent requests)
Time per request:       114.906 [ms] (mean, across all concurrent requests)
Time per request:       115.422 [ms] (mean, across all concurrent requests)
Time per request:       115.100 [ms] (mean, across all concurrent requests)
Time per request:       114.930 [ms] (mean, across all concurrent requests)
Time per request:       114.877 [ms] (mean, across all concurrent requests)
Time per request:       114.875 [ms] (mean, across all concurrent requests)
Time per request:       114.711 [ms] (mean, across all concurrent requests)
Time per request:       114.800 [ms] (mean, across all concurrent requests)
Time per request:       114.811 [ms] (mean, across all concurrent requests)
Time per request:       115.156 [ms] (mean, across all concurrent requests)
Time per request:       114.658 [ms] (mean, across all concurrent requests)
Time per request:       114.859 [ms] (mean, across all concurrent requests)
Time per request:       114.569 [ms] (mean, across all concurrent requests)
Time per request:       114.849 [ms] (mean, across all concurrent requests)
Time per request:       114.384 [ms] (mean, across all concurrent requests)
Time per request:       114.648 [ms] (mean, across all concurrent requests)
Time per request:       114.808 [ms] (mean, across all concurrent requests)
Time per request:       114.996 [ms] (mean, across all concurrent requests)
Time per request:       66.263 [ms] (mean, across all concurrent requests)
Time per request:       65.856 [ms] (mean, across all concurrent requests)
Time per request:       65.821 [ms] (mean, across all concurrent requests)
Time per request:       65.603 [ms] (mean, across all concurrent requests)
Time per request:       65.700 [ms] (mean, across all concurrent requests)
Time per request:       65.672 [ms] (mean, across all concurrent requests)
Time per request:       65.473 [ms] (mean, across all concurrent requests)
Time per request:       65.794 [ms] (mean, across all concurrent requests)
Time per request:       65.765 [ms] (mean, across all concurrent requests)
Time per request:       65.718 [ms] (mean, across all concurrent requests)
Time per request:       65.987 [ms] (mean, across all concurrent requests)
Time per request:       65.576 [ms] (mean, across all concurrent requests)
Time per request:       65.502 [ms] (mean, across all concurrent requests)
Time per request:       66.079 [ms] (mean, across all concurrent requests)
Time per request:       66.027 [ms] (mean, across all concurrent requests)
Time per request:       65.999 [ms] (mean, across all concurrent requests)
Time per request:       66.059 [ms] (mean, across all concurrent requests)
Time per request:       65.679 [ms] (mean, across all concurrent requests)
Time per request:       65.687 [ms] (mean, across all concurrent requests)
Time per request:       66.195 [ms] (mean, across all concurrent requests)
Time per request:       65.849 [ms] (mean, across all concurrent requests)
Time per request:       65.619 [ms] (mean, across all concurrent requests)
Time per request:       65.578 [ms] (mean, across all concurrent requests)
Time per request:       65.510 [ms] (mean, across all concurrent requests)
Time per request:       65.703 [ms] (mean, across all concurrent requests)
Time per request:       63.760 [ms] (mean, across all concurrent requests)
Time per request:       65.588 [ms] (mean, across all concurrent requests)
Time per request:       65.894 [ms] (mean, across all concurrent requests)
Time per request:       65.559 [ms] (mean, across all concurrent requests)
Time per request:       65.703 [ms] (mean, across all concurrent requests)
Time per request:       88.864 [ms] (mean, across all concurrent requests)
Time per request:       55.507 [ms] (mean, across all concurrent requests)
Time per request:       88.956 [ms] (mean, across all concurrent requests)
Time per request:       89.632 [ms] (mean, across all concurrent requests)
Time per request:       56.209 [ms] (mean, across all concurrent requests)
Time per request:       90.402 [ms] (mean, across all concurrent requests)
Time per request:       40.977 [ms] (mean, across all concurrent requests)
Time per request:       91.347 [ms] (mean, across all concurrent requests)
Time per request:       54.597 [ms] (mean, across all concurrent requests)
Time per request:       40.810 [ms] (mean, across all concurrent requests)
Time per request:       53.696 [ms] (mean, across all concurrent requests)
Time per request:       91.439 [ms] (mean, across all concurrent requests)
Time per request:       55.419 [ms] (mean, across all concurrent requests)
Time per request:       40.807 [ms] (mean, across all concurrent requests)
Time per request:       89.693 [ms] (mean, across all concurrent requests)
Time per request:       54.895 [ms] (mean, across all concurrent requests)
Time per request:       87.413 [ms] (mean, across all concurrent requests)
Time per request:       55.597 [ms] (mean, across all concurrent requests)
Time per request:       40.799 [ms] (mean, across all concurrent requests)
grep: Uji01-Rd05.txt: No such file or directory
