Time per request:       114.488 [ms] (mean, across all concurrent requests)
Time per request:       114.909 [ms] (mean, across all concurrent requests)
Time per request:       114.846 [ms] (mean, across all concurrent requests)
Time per request:       114.788 [ms] (mean, across all concurrent requests)
Time per request:       114.724 [ms] (mean, across all concurrent requests)
Time per request:       115.673 [ms] (mean, across all concurrent requests)
Time per request:       114.956 [ms] (mean, across all concurrent requests)
Time per request:       113.102 [ms] (mean, across all concurrent requests)
Time per request:       114.588 [ms] (mean, across all concurrent requests)
Time per request:       114.761 [ms] (mean, across all concurrent requests)
Time per request:       115.069 [ms] (mean, across all concurrent requests)
Time per request:       114.785 [ms] (mean, across all concurrent requests)
Time per request:       114.894 [ms] (mean, across all concurrent requests)
Time per request:       114.724 [ms] (mean, across all concurrent requests)
Time per request:       114.413 [ms] (mean, across all concurrent requests)
Time per request:       114.789 [ms] (mean, across all concurrent requests)
Time per request:       114.632 [ms] (mean, across all concurrent requests)
Time per request:       114.524 [ms] (mean, across all concurrent requests)
Time per request:       114.809 [ms] (mean, across all concurrent requests)
Time per request:       114.955 [ms] (mean, across all concurrent requests)
Time per request:       114.662 [ms] (mean, across all concurrent requests)
Time per request:       114.826 [ms] (mean, across all concurrent requests)
Time per request:       114.752 [ms] (mean, across all concurrent requests)
Time per request:       114.826 [ms] (mean, across all concurrent requests)
Time per request:       115.257 [ms] (mean, across all concurrent requests)
Time per request:       114.611 [ms] (mean, across all concurrent requests)
Time per request:       114.872 [ms] (mean, across all concurrent requests)
Time per request:       114.992 [ms] (mean, across all concurrent requests)
Time per request:       114.460 [ms] (mean, across all concurrent requests)
Time per request:       114.809 [ms] (mean, across all concurrent requests)
Time per request:       108.668 [ms] (mean, across all concurrent requests)
Time per request:       108.800 [ms] (mean, across all concurrent requests)
Time per request:       108.722 [ms] (mean, across all concurrent requests)
Time per request:       108.695 [ms] (mean, across all concurrent requests)
Time per request:       108.451 [ms] (mean, across all concurrent requests)
Time per request:       108.410 [ms] (mean, across all concurrent requests)
Time per request:       108.652 [ms] (mean, across all concurrent requests)
Time per request:       108.681 [ms] (mean, across all concurrent requests)
Time per request:       108.816 [ms] (mean, across all concurrent requests)
Time per request:       108.872 [ms] (mean, across all concurrent requests)
Time per request:       108.601 [ms] (mean, across all concurrent requests)
Time per request:       108.580 [ms] (mean, across all concurrent requests)
Time per request:       108.917 [ms] (mean, across all concurrent requests)
Time per request:       108.844 [ms] (mean, across all concurrent requests)
Time per request:       108.645 [ms] (mean, across all concurrent requests)
Time per request:       108.934 [ms] (mean, across all concurrent requests)
Time per request:       108.606 [ms] (mean, across all concurrent requests)
Time per request:       108.448 [ms] (mean, across all concurrent requests)
Time per request:       108.600 [ms] (mean, across all concurrent requests)
Time per request:       108.590 [ms] (mean, across all concurrent requests)
Time per request:       108.797 [ms] (mean, across all concurrent requests)
Time per request:       108.847 [ms] (mean, across all concurrent requests)
Time per request:       108.574 [ms] (mean, across all concurrent requests)
Time per request:       108.708 [ms] (mean, across all concurrent requests)
Time per request:       108.880 [ms] (mean, across all concurrent requests)
Time per request:       108.857 [ms] (mean, across all concurrent requests)
Time per request:       108.462 [ms] (mean, across all concurrent requests)
Time per request:       108.601 [ms] (mean, across all concurrent requests)
Time per request:       108.939 [ms] (mean, across all concurrent requests)
Time per request:       109.593 [ms] (mean, across all concurrent requests)
Time per request:       106.422 [ms] (mean, across all concurrent requests)
Time per request:       106.674 [ms] (mean, across all concurrent requests)
Time per request:       106.468 [ms] (mean, across all concurrent requests)
Time per request:       106.670 [ms] (mean, across all concurrent requests)
Time per request:       106.710 [ms] (mean, across all concurrent requests)
Time per request:       106.566 [ms] (mean, across all concurrent requests)
Time per request:       106.511 [ms] (mean, across all concurrent requests)
Time per request:       106.689 [ms] (mean, across all concurrent requests)
Time per request:       106.632 [ms] (mean, across all concurrent requests)
Time per request:       106.757 [ms] (mean, across all concurrent requests)
Time per request:       106.712 [ms] (mean, across all concurrent requests)
Time per request:       106.475 [ms] (mean, across all concurrent requests)
Time per request:       106.796 [ms] (mean, across all concurrent requests)
Time per request:       106.850 [ms] (mean, across all concurrent requests)
Time per request:       106.698 [ms] (mean, across all concurrent requests)
Time per request:       106.581 [ms] (mean, across all concurrent requests)
Time per request:       106.749 [ms] (mean, across all concurrent requests)
Time per request:       106.517 [ms] (mean, across all concurrent requests)
Time per request:       106.603 [ms] (mean, across all concurrent requests)
Time per request:       106.620 [ms] (mean, across all concurrent requests)
Time per request:       106.635 [ms] (mean, across all concurrent requests)
Time per request:       106.537 [ms] (mean, across all concurrent requests)
Time per request:       106.576 [ms] (mean, across all concurrent requests)
Time per request:       106.413 [ms] (mean, across all concurrent requests)
Time per request:       106.761 [ms] (mean, across all concurrent requests)
Time per request:       106.733 [ms] (mean, across all concurrent requests)
Time per request:       107.010 [ms] (mean, across all concurrent requests)
Time per request:       106.626 [ms] (mean, across all concurrent requests)
Time per request:       106.600 [ms] (mean, across all concurrent requests)
Time per request:       107.053 [ms] (mean, across all concurrent requests)
Time per request:       105.626 [ms] (mean, across all concurrent requests)
Time per request:       107.610 [ms] (mean, across all concurrent requests)
Time per request:       106.018 [ms] (mean, across all concurrent requests)
Time per request:       105.657 [ms] (mean, across all concurrent requests)
Time per request:       105.556 [ms] (mean, across all concurrent requests)
Time per request:       105.634 [ms] (mean, across all concurrent requests)
Time per request:       105.705 [ms] (mean, across all concurrent requests)
Time per request:       105.460 [ms] (mean, across all concurrent requests)
Time per request:       105.583 [ms] (mean, across all concurrent requests)
Time per request:       105.692 [ms] (mean, across all concurrent requests)
Time per request:       105.500 [ms] (mean, across all concurrent requests)
Time per request:       105.637 [ms] (mean, across all concurrent requests)
Time per request:       105.705 [ms] (mean, across all concurrent requests)
Time per request:       105.572 [ms] (mean, across all concurrent requests)
Time per request:       105.443 [ms] (mean, across all concurrent requests)
Time per request:       105.490 [ms] (mean, across all concurrent requests)
Time per request:       105.711 [ms] (mean, across all concurrent requests)
Time per request:       105.858 [ms] (mean, across all concurrent requests)
Time per request:       105.754 [ms] (mean, across all concurrent requests)
Time per request:       105.541 [ms] (mean, across all concurrent requests)
Time per request:       105.700 [ms] (mean, across all concurrent requests)
Time per request:       105.421 [ms] (mean, across all concurrent requests)
Time per request:       105.594 [ms] (mean, across all concurrent requests)
Time per request:       105.493 [ms] (mean, across all concurrent requests)
Time per request:       105.586 [ms] (mean, across all concurrent requests)
Time per request:       105.651 [ms] (mean, across all concurrent requests)
Time per request:       105.814 [ms] (mean, across all concurrent requests)
Time per request:       105.539 [ms] (mean, across all concurrent requests)
Time per request:       105.698 [ms] (mean, across all concurrent requests)
Time per request:       105.883 [ms] (mean, across all concurrent requests)
Time per request:       105.058 [ms] (mean, across all concurrent requests)
Time per request:       105.138 [ms] (mean, across all concurrent requests)
Time per request:       104.941 [ms] (mean, across all concurrent requests)
Time per request:       105.052 [ms] (mean, across all concurrent requests)
Time per request:       105.187 [ms] (mean, across all concurrent requests)
Time per request:       105.286 [ms] (mean, across all concurrent requests)
Time per request:       105.079 [ms] (mean, across all concurrent requests)
Time per request:       105.245 [ms] (mean, across all concurrent requests)
Time per request:       105.048 [ms] (mean, across all concurrent requests)
Time per request:       105.102 [ms] (mean, across all concurrent requests)
Time per request:       104.815 [ms] (mean, across all concurrent requests)
Time per request:       104.953 [ms] (mean, across all concurrent requests)
Time per request:       105.044 [ms] (mean, across all concurrent requests)
Time per request:       105.005 [ms] (mean, across all concurrent requests)
Time per request:       105.014 [ms] (mean, across all concurrent requests)
Time per request:       104.973 [ms] (mean, across all concurrent requests)
Time per request:       105.227 [ms] (mean, across all concurrent requests)
Time per request:       104.962 [ms] (mean, across all concurrent requests)
Time per request:       105.028 [ms] (mean, across all concurrent requests)
Time per request:       104.958 [ms] (mean, across all concurrent requests)
Time per request:       105.488 [ms] (mean, across all concurrent requests)
Time per request:       105.017 [ms] (mean, across all concurrent requests)
Time per request:       104.917 [ms] (mean, across all concurrent requests)
Time per request:       105.057 [ms] (mean, across all concurrent requests)
Time per request:       104.878 [ms] (mean, across all concurrent requests)
Time per request:       105.018 [ms] (mean, across all concurrent requests)
Time per request:       104.884 [ms] (mean, across all concurrent requests)
Time per request:       105.043 [ms] (mean, across all concurrent requests)
Time per request:       105.098 [ms] (mean, across all concurrent requests)
Time per request:       105.003 [ms] (mean, across all concurrent requests)
