Time per request:       114.560 [ms] (mean, across all concurrent requests)
Time per request:       114.987 [ms] (mean, across all concurrent requests)
Time per request:       114.557 [ms] (mean, across all concurrent requests)
Time per request:       114.787 [ms] (mean, across all concurrent requests)
Time per request:       114.407 [ms] (mean, across all concurrent requests)
Time per request:       114.614 [ms] (mean, across all concurrent requests)
Time per request:       114.656 [ms] (mean, across all concurrent requests)
Time per request:       114.632 [ms] (mean, across all concurrent requests)
Time per request:       114.365 [ms] (mean, across all concurrent requests)
Time per request:       114.343 [ms] (mean, across all concurrent requests)
Time per request:       114.425 [ms] (mean, across all concurrent requests)
Time per request:       114.922 [ms] (mean, across all concurrent requests)
Time per request:       114.541 [ms] (mean, across all concurrent requests)
Time per request:       114.564 [ms] (mean, across all concurrent requests)
Time per request:       114.662 [ms] (mean, across all concurrent requests)
Time per request:       114.505 [ms] (mean, across all concurrent requests)
Time per request:       114.664 [ms] (mean, across all concurrent requests)
Time per request:       114.397 [ms] (mean, across all concurrent requests)
Time per request:       114.428 [ms] (mean, across all concurrent requests)
Time per request:       114.424 [ms] (mean, across all concurrent requests)
Time per request:       114.538 [ms] (mean, across all concurrent requests)
Time per request:       114.640 [ms] (mean, across all concurrent requests)
Time per request:       114.528 [ms] (mean, across all concurrent requests)
Time per request:       114.744 [ms] (mean, across all concurrent requests)
Time per request:       114.673 [ms] (mean, across all concurrent requests)
Time per request:       114.566 [ms] (mean, across all concurrent requests)
Time per request:       114.475 [ms] (mean, across all concurrent requests)
Time per request:       114.524 [ms] (mean, across all concurrent requests)
Time per request:       114.462 [ms] (mean, across all concurrent requests)
Time per request:       113.018 [ms] (mean, across all concurrent requests)
Time per request:       108.499 [ms] (mean, across all concurrent requests)
Time per request:       108.490 [ms] (mean, across all concurrent requests)
Time per request:       108.436 [ms] (mean, across all concurrent requests)
Time per request:       108.497 [ms] (mean, across all concurrent requests)
Time per request:       108.540 [ms] (mean, across all concurrent requests)
Time per request:       108.497 [ms] (mean, across all concurrent requests)
Time per request:       108.515 [ms] (mean, across all concurrent requests)
Time per request:       108.465 [ms] (mean, across all concurrent requests)
Time per request:       108.525 [ms] (mean, across all concurrent requests)
Time per request:       108.487 [ms] (mean, across all concurrent requests)
Time per request:       108.474 [ms] (mean, across all concurrent requests)
Time per request:       108.464 [ms] (mean, across all concurrent requests)
Time per request:       108.515 [ms] (mean, across all concurrent requests)
Time per request:       108.488 [ms] (mean, across all concurrent requests)
Time per request:       108.471 [ms] (mean, across all concurrent requests)
Time per request:       108.829 [ms] (mean, across all concurrent requests)
Time per request:       108.499 [ms] (mean, across all concurrent requests)
Time per request:       108.458 [ms] (mean, across all concurrent requests)
Time per request:       108.401 [ms] (mean, across all concurrent requests)
Time per request:       108.521 [ms] (mean, across all concurrent requests)
Time per request:       108.480 [ms] (mean, across all concurrent requests)
Time per request:       108.395 [ms] (mean, across all concurrent requests)
Time per request:       107.714 [ms] (mean, across all concurrent requests)
Time per request:       108.542 [ms] (mean, across all concurrent requests)
Time per request:       108.496 [ms] (mean, across all concurrent requests)
Time per request:       108.419 [ms] (mean, across all concurrent requests)
